cascade_id,video_url,label
f0,https://www.facebook.com/palasqueseaoficial/videos/1542574069191584/,fake
f0,https://www.facebook.com/lioncityfeed/videos/916632151837497/,fake
f0,https://www.youtube.com/watch?v=uqZeCGo0LnE,fake
f0,https://www.youtube.com/watch?v=hZ5Kt-ffkA0,fake
f0,https://www.youtube.com/watch?v=0ai_IKEmMz8,fake
f0,https://www.youtube.com/watch?v=2UYhWfq8_yw,fake
f0,https://www.youtube.com/watch?v=u8RuDS18R_E,fake
f0,https://www.youtube.com/watch?v=SFcpmbiWkzk,fake
f0,https://www.youtube.com/watch?v=07kv4UTfqgE,fake
f0,https://www.youtube.com/watch?v=OfT-oZZPbtU,fake
f0,https://www.youtube.com/watch?v=8kxyb0eDOWQ,fake
f0,https://www.youtube.com/watch?v=WP5hxAm8KnE,fake
f0,https://www.youtube.com/watch?v=bk6XxkY-07k,fake
f0,https://www.youtube.com/watch?v=p4UfVh74JZ0,fake
f0,https://www.youtube.com/watch?v=1O_u3HOCato,fake
f1,https://www.youtube.com/watch?v=nTDud03nzCg,fake
f1,https://www.youtube.com/watch?v=TEt6TWzbn8E,fake
f1,https://www.youtube.com/watch?v=XSRhFjc--_s,fake
f1,https://www.youtube.com/watch?v=QN0tc4RhQnI,fake
f1,https://www.youtube.com/watch?v=JrD4G14s_G8,fake
f1,https://www.youtube.com/watch?v=cuZluNkoDOU,fake
f1,https://www.youtube.com/watch?v=SOEG39R1Te0,fake
f1,https://www.youtube.com/watch?v=vhre0_9oRt4,fake
f1,https://www.youtube.com/watch?v=sm8qb2kP-fQ,fake
f1,https://www.youtube.com/watch?v=JOY8YRWir1A,fake
f1,https://www.youtube.com/watch?v=DP9zuwjcLEU,fake
f1,https://www.youtube.com/watch?v=HQpRS4nqz20,fake
f1,https://www.youtube.com/watch?v=IIapO9MiVgk,fake
f1,https://www.youtube.com/watch?v=2VcdBuC0IPw,fake
f1,https://www.youtube.com/watch?v=2Q4X7mOBX8k,fake
f1,https://www.youtube.com/watch?v=TYN02l_o0Xs,fake
f1,https://www.youtube.com/watch?v=aGu_l5DHdm0,fake
f1,https://www.youtube.com/watch?v=ZgNE8fX_aqs,fake
f1,https://www.youtube.com/watch?v=-wM2pa1A_io,fake
f1,https://www.youtube.com/watch?v=SGexweIR7e0,fake
f1,https://www.youtube.com/watch?v=DnqJHZf-s6U,fake
